County,Rank
Knox,0.002016517755208333
La Salle,0.014557594222916664
Lamar,0.07171308410153061
Lamb,0.06956214813015874
Lampasas,0.044094697475744044
Lavaca,0.02003652585753968
Lee,0.09788916336210317
Leon,0.06553691949115645
Liberty,0.3844647731466837
Limestone,0.04189073951887755
Live Oak,0.023818140433120746
Llano,0.045384311569047625
Lubbock,0.17792026041517858
Lynn,0.0656437870965136
Madison,0.0076636703472222215
Marion,0.07128395183214284
Martin,0.09124901493253967
Mason,0.02609053812690476
Matagorda,0.08185754525595237
Maverick,0.010140423602579364
McCulloch,0.13762792781041666
McLennan,0.1459129075875
Medina,0.17539627253000992
Menard,0.006238203122448978
Midland,0.12428713393551588
Milam,0.11940840464880952
Mills,0.011846478631904762
Mitchell,0.002357570534013605
Montague,0.06977516903333333
Montgomery,0.4699880817513889
Moore,0.013328311909375001
Morris,0.031190722205144558
Nacogdoches,0.03986439057142857
Navarro,0.1447664925123214
Newton,0.021201932003061225
Nolan,0.010385572224489794
Nueces,0.13413607643229167
Ochiltree,0.00015335903333333332
Orange,0.10955490217718253
Palo Pinto,0.03551767410629251
Panola,0.020215219201190477
Parker,0.3122254910174603
Parmer,0.018613709410714288
Pecos,0.0017100728638888888
Polk,0.07606797214414682
Potter,0.041594532641369045
Presidio,0.0
Rains,0.030032820024999997
Randall,0.03906058333503402
Reagan,0.032899489924603176
Real,0.023708038338541668
Red River,0.012658370528720238
Reeves,0.000661226818452381
Refugio,0.03347928359097222
Robertson,0.08463429648894558
Rockwall,0.9588012187604167
Runnels,0.01587521617261905
Rusk,0.0829765802342687
Sabine,0.010619123464285713
San Augustine,0.021574260644285713
San Jacinto,0.13076380561714288
San Patricio,0.062378972643948406
San Saba,0.024627939514455785
Schleicher,0.004394473864229025
Scurry,0.00490506294642857
Shelby,0.02151556641632653
Smith,0.14588635720854592
Somervell,0.11143036678214285
Starr,0.0710172420297619
Stephens,0.005956000514285715
Sutton,0.0009779261977513225
Swisher,0.025114659900793652
Tarrant,1.1986317638095239
Taylor,0.034283648038690474
Terry,0.06530053206564625
Titus,0.015179722354836311
Tom Green,0.01602965582217262
Travis,0.4788014535386905
Trinity,0.034075524449285716
Tyler,0.058890069799107145
Upshur,0.08020087719549318
Upton,0.04404861475092592
Uvalde,0.05435488326875
Victoria,0.03514781610138889
Walker,0.10530521323690475
Waller,0.4720567104103175
Ward,0.011234236989285714
Washington,0.12955759783571427
Webb,0.11304047263962584
Wharton,0.19995404719444446
Wheeler,0.0
Wichita,0.10431303340401786
Wilbarger,0.03259700526466836
Willacy,0.1520930569833333
Williamson,0.3068317033613095
Wilson,0.22954799619136906
Winkler,0.016941899
Wise,0.38803379688194445
Wood,0.04386349364370748
Yoakum,0.020270360826785714
Young,0.010287000430208332
Zapata,0.06917373524583334
Zavala,0.061238314545138894
